Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
60,Andrew Nicholson (ORL),75,9.8,18.7,52.70%,0,0,0.00%,2.9,3.6,79.80%,2.7,7.3,9.9,1.7,0.9,1.2,3,5.1,22.6,23.7
61,Enes Kanter (UTA),70,9.2,16.9,54.40%,0,0,100.00%,4.1,5.2,79.50%,6,7.5,13.5,1.4,1.3,1.4,4.5,5.2,22.5,26.8
62,Al Horford (ATL),74,10,18.5,54.30%,0.1,0.1,50.00%,2.3,3.6,64.40%,3.4,9.8,13.2,4.2,1.4,1.4,2.6,2.8,22.4,30.3
63,Carl Landry (GSW),81,8.3,15.4,54.00%,0,0.1,33.30%,5.7,7,81.70%,4.6,7.8,12.4,1.7,0.9,0.8,2.9,4.9,22.4,26.8
64,Paul George (IND),79,8,19,41.90%,2.7,7.6,36.20%,3.6,4.4,80.70%,1.4,8.3,9.7,5.3,2.3,0.8,3.8,3.7,22.2,24.7
65,Klay Thompson (GSW),82,8.3,19.7,42.20%,3.4,8.6,40.10%,2.2,2.6,84.10%,0.5,4.5,5,3,1.4,0.7,2.6,3.9,22.2,18
66,JJ Redick (MIL),78,7.7,17.8,43.40%,3.3,9.1,36.60%,3.5,3.8,90.00%,0.3,3.1,3.5,6,0.8,0.2,2.8,2.4,22.2,19.3
67,Jeff Green (BOS),81,8,17.2,46.70%,1.5,3.9,38.50%,4.6,5.6,80.80%,1.2,5.6,6.8,2.7,1.2,1.4,2.8,3.7,22.1,21.2
68,Arron Afflalo (ORL),64,8.3,18.8,43.90%,1.5,5,30.00%,4,4.6,85.70%,0.6,4.4,5,4.3,0.8,0.2,2.9,2.9,22,18.2
69,Zach Randolph (MEM),76,8.7,18.9,46.00%,0,0.4,8.70%,4.1,5.5,75.00%,5.7,10,15.7,2,1.1,0.6,2.8,3.3,21.5,26.6
70,Jeff Teague (ATL),80,8,17.8,45.10%,1.6,4.5,35.90%,3.6,4.1,88.10%,0.5,2.8,3.3,10.6,2.1,0.5,4.2,3.3,21.3,23.3
71,Joe Johnson (BKN),72,8.1,19.1,42.30%,2.7,7.2,37.50%,2.4,2.9,82.00%,1,3,4,4.6,0.9,0.3,2.2,1.8,21.3,17.2
72,Goran Dragic (PHX),77,7.5,16.8,44.30%,1.6,5.1,31.90%,4.5,6.1,74.80%,1.1,3.3,4.4,10.6,2.3,0.5,3.9,4,21.1,24
73,JJ Hickson (POR),80,8.6,15.4,56.20%,0,0,0.00%,3.8,5.5,67.90%,5.5,11.6,17.1,1.8,1,1.1,3,3.3,21,30.5
